country,population,EU,coastline
Albania,2.9,no,yes
Andorra,0.07,no,no
Austria,8.57,yes,no
Belarus,9.48,no,no
Belgium,11.37,yes,yes
Bosnia and Herzegovina,3.8,no,yes
Bulgaria,7.1,yes,yes
Croatia,4.23,yes,yes
Cyprus,1.18,yes,yes
Czech Republic,10.55,yes,no
Denmark,5.69,yes,yes
Estonia,1.31,yes,yes
Finland,5.52,yes,yes
France,64.67,yes,yes
Germany,80.68,yes,yes
Greece,10.92,yes,yes
Hungary,9.82,yes,no
Iceland,0.33,no,yes
Ireland,4.71,yes,yes
Italy,59.8,yes,yes
Kosovo,1.91,no,no
Latvia,1.96,yes,yes
Liechtenstein,0.04,no,no
Lithuania,2.85,yes,yes
Luxembourg,0.58,yes,no
Macedonia,2.08,no,no
Moldova,4.06,no,no
Montenegro,0.63,no,yes
Netherlands,16.98,yes,yes
Norway,5.27,no,yes
Poland,38.59,yes,yes
Portugal,10.3,yes,yes
Romania,19.37,yes,yes
Serbia,8.81,no,no
Slovakia,5.43,yes,no
Slovenia,2.07,yes,yes
Spain,46.06,yes,yes
Sweden,9.85,yes,yes
Switzerland,8.38,no,no
Turkey,79.62,no,yes
Ukraine,44.62,no,yes
United Kingdom,65.11,yes,yes